,MODEL,STARTUP,SHUTDOWN,NCOST,COST_2,COST_1,COST_0
GenCo0,2,0.0,0,2,0.0,193.75914338873974,0.0
GenCo1,2,0.0,0,2,0.0,232.60153554120566,0.0
GenCo2,2,0.0,0,2,0.0,232.91566465841592,0.0
GenCo3,2,0.0,0,2,0.0,235.53168335484332,0.0
GenCo4,2,0.0,0,2,0.0,228.9850165220923,0.0
GenCo5,2,0.0,0,2,0.0,248.37682324413336,0.0
GenCo6,2,0.0,0,2,0.0,251.36322655324966,0.0
GenCo7,2,0.0,0,2,0.0,235.69402509517607,0.0
GenCo8,2,0.0,0,2,0.0,231.17757781469422,0.0
GenCo9,2,0.0,0,2,0.0,237.96054806579522,0.0
GenCo10,2,0.0,0,2,0.0,232.59856872718842,0.0
GenCo11,2,0.0,0,2,0.0,248.8064423186854,0.0
GenCo12,2,0.0,0,2,0.0,238.67248771686766,0.0
GenCo13,2,0.0,0,2,0.0,246.7767524873301,0.0
GenCo14,2,0.0,0,2,0.0,245.37700230595186,0.0
GenCo15,2,0.0,0,2,0.0,237.4498739655932,0.0
GenCo16,2,0.0,0,2,0.0,245.12716715812496,0.0
GenCo17,2,0.0,0,2,0.0,234.6957819307423,0.0
GenCo18,2,0.0,0,2,0.0,237.62216736760752,0.0
GenCo19,2,0.0,0,2,0.0,240.3560832581659,0.0
GenCo20,2,0.0,0,2,0.0,249.29252786311923,0.0
GenCo21,2,0.0,0,2,0.0,229.2891844859781,0.0
GenCo22,2,0.0,0,2,0.0,246.94589041927145,0.0
GenCo23,2,0.0,0,2,0.0,235.5397893193705,0.0
GenCo24,2,0.0,0,2,0.0,230.46476612052234,0.0
GenCo25,2,0.0,0,2,0.0,247.50363647338796,0.0
GenCo26,2,0.0,0,2,0.0,234.99195641896884,0.0
GenCo27,2,0.0,0,2,0.0,235.40952376906884,0.0
GenCo28,2,0.0,0,2,0.0,229.89245650221363,0.0
GenCo29,2,0.0,0,2,0.0,245.43999577902943,0.0
GenCo30,2,0.0,0,2,0.0,244.53401420322808,0.0
GenCo31,2,0.0,0,2,0.0,95.3358878950178,0.0
GenCo32,2,0.0,0,2,0.0,203.83111694939802,0.0
GenCo33,2,0.0,0,2,0.0,201.67382147610806,0.0
GenCo34,2,0.0,0,2,0.0,206.07595671801113,0.0
GenCo35,2,0.0,0,2,0.0,202.41255315684748,0.0
GenCo36,2,0.0,0,2,0.0,190.20832197561077,0.0
GenCo37,2,0.0,0,2,0.0,197.45195587189835,0.0
GenCo38,2,0.0,0,2,0.0,200.75769676258054,0.0
GenCo39,2,0.0,0,2,0.0,202.1656733213629,0.0
GenCo40,2,0.0,0,2,0.0,195.83377613260382,0.0
GenCo41,2,0.0,0,2,0.0,202.98120624110456,0.0
GenCo42,2,0.0,0,2,0.0,207.88443730323556,0.0
GenCo43,2,0.0,0,2,0.0,193.33053123079065,0.0
GenCo44,2,0.0,0,2,0.0,203.1312574354189,0.0
GenCo45,2,0.0,0,2,0.0,200.58178934350713,0.0
GenCo46,2,0.0,0,2,0.0,189.2316696192441,0.0
GenCo47,2,0.0,0,2,0.0,201.58678538580713,0.0
GenCo48,2,0.0,0,2,0.0,207.93255822210384,0.0
GenCo49,2,0.0,0,2,0.0,194.1844322608679,0.0
GenCo50,2,0.0,0,2,0.0,192.61543630681854,0.0
GenCo51,2,0.0,0,2,0.0,194.00863890082968,0.0
GenCo52,2,0.0,0,2,0.0,196.06183275789306,0.0
GenCo53,2,0.0,0,2,0.0,199.44166506963032,0.0
GenCo54,2,0.0,0,2,0.0,205.96561898196833,0.0
GenCo55,2,0.0,0,2,0.0,190.58879193688912,0.0
GenCo56,2,0.0,0,2,0.0,202.7917321311944,0.0
GenCo57,2,0.0,0,2,0.0,203.1959477960337,0.0
GenCo58,2,0.0,0,2,0.0,193.36166836091024,0.0
GenCo59,2,0.0,0,2,0.0,196.83587770870335,0.0
GenCo60,2,0.0,0,2,0.0,208.36896872343254,0.0
GenCo61,2,0.0,0,2,0.0,193.84789075966415,0.0
GenCo62,2,0.0,0,2,0.0,192.45511529501098,0.0
GenCo63,2,0.0,0,2,0.0,193.65544246273805,0.0
GenCo64,2,0.0,0,2,0.0,205.95092588338665,0.0
GenCo65,2,0.0,0,2,0.0,190.59331620360066,0.0
GenCo66,2,0.0,0,2,0.0,203.10884982947977,0.0
GenCo67,2,0.0,0,2,0.0,204.7826618483146,0.0
GenCo68,2,0.0,0,2,0.0,204.23876522104814,0.0
GenCo69,2,0.0,0,2,0.0,197.86320847751205,0.0
GenCo70,2,0.0,0,2,0.0,204.96263948849762,0.0
GenCo71,2,0.0,0,2,0.0,199.37762227059915,0.0
GenCo72,2,0.0,0,2,0.0,196.6744588681086,0.0
GenCo73,2,0.0,0,2,0.0,200.74261697206404,0.0
GenCo74,2,0.0,0,2,0.0,201.9363589618528,0.0
GenCo75,2,0.0,0,2,0.0,195.91932844507156,0.0
GenCo76,2,0.0,0,2,0.0,205.3805901302635,0.0
GenCo77,2,0.0,0,2,0.0,189.85870171783318,0.0
GenCo78,2,0.0,0,2,0.0,203.4860595531747,0.0
GenCo79,2,0.0,0,2,0.0,197.07785991404634,0.0
GenCo80,2,0.0,0,2,0.0,206.49552891276866,0.0
GenCo81,2,0.0,0,2,0.0,198.165624891346,0.0
GenCo82,2,0.0,0,2,0.0,197.6437394288065,0.0
GenCo83,2,0.0,0,2,0.0,203.25501832388784,0.0
GenCo84,2,0.0,0,2,0.0,202.8654721588268,0.0
GenCo85,2,0.0,0,2,0.0,198.36699594926222,0.0
GenCo86,2,0.0,0,2,0.0,205.94017977521068,0.0
GenCo87,2,0.0,0,2,0.0,201.4552903328122,0.0
GenCo88,2,0.0,0,2,0.0,201.0285699837488,0.0
GenCo89,2,0.0,0,2,0.0,188.99025955500602,0.0
GenCo90,2,0.0,0,2,0.0,203.64692234604703,0.0
GenCo91,2,0.0,0,2,0.0,201.35897508458226,0.0
GenCo92,2,0.0,0,2,0.0,206.7944807213643,0.0
GenCo93,2,0.0,0,2,0.0,206.12604237712225,0.0
GenCo94,2,0.0,0,2,0.0,166.07265228029598,0.0
GenCo95,2,0.0,0,2,0.0,153.58913696072216,0.0
GenCo96,2,0.0,0,2,0.0,107.48744169975639,0.0
GenCo97,2,0.0,0,2,0.0,103.7384144008456,0.0
GenCo98,2,0.0,0,2,0.0,104.0723287590398,0.0
GenCo99,2,0.0,0,2,0.0,109.48399489555518,0.0
GenCo100,2,0.0,0,2,0.0,107.78577882916068,0.0
GenCo101,2,0.0,0,2,0.0,105.1422561629804,0.0
GenCo102,2,0.0,0,2,0.0,104.45239243761253,0.0
GenCo103,2,0.0,0,2,0.0,105.45978603857999,0.0
GenCo104,2,0.0,0,2,0.0,111.56144928842473,0.0
GenCo105,2,0.0,0,2,0.0,108.10181678861424,0.0
GenCo106,2,0.0,0,2,0.0,104.98723362266654,0.0
GenCo107,2,0.0,0,2,0.0,150.3721974670115,0.0
GenCo108,2,0.0,0,2,0.0,139.84849358312832,0.0
GenCo109,2,0.0,0,2,0.0,141.9166983662377,0.0
GenCo110,2,0.0,0,2,0.0,145.55374161705092,0.0
GenCo111,2,0.0,0,2,0.0,136.90075724846173,0.0
GenCo112,2,0.0,0,2,0.0,137.1458873425995,0.0
GenCo113,2,0.0,0,2,0.0,141.82295304395927,0.0
GenCo114,2,0.0,0,2,0.0,142.83009736693216,0.0
GenCo115,2,0.0,0,2,0.0,152.71717543557966,0.0
GenCo116,2,0.0,0,2,0.0,146.61082174961965,0.0
GenCo117,2,0.0,0,2,0.0,142.94494086377296,0.0
GenCo118,2,0.0,0,2,0.0,140.8750561068094,0.0
GenCo119,2,0.0,0,2,0.0,152.92298285888742,0.0
GenCo120,2,0.0,0,2,0.0,141.44115433733973,0.0
GenCo121,2,0.0,0,2,0.0,142.72944653509913,0.0
GenCo122,2,0.0,0,2,0.0,0.0,0.0
GenCo123,2,0.0,0,2,0.0,138.64078780512406,0.0
GenCo124,2,0.0,0,2,0.0,138.04289706252803,0.0
GenCo125,2,0.0,0,2,0.0,132.71977162503626,0.0
GenCo126,2,0.0,0,2,0.0,133.80575432209636,0.0
GenCo127,2,0.0,0,2,0.0,128.94431860855872,0.0
GenCo128,2,0.0,0,2,0.0,125.89798705506345,0.0
GenCo129,2,0.0,0,2,0.0,129.41127034600086,0.0
GenCo130,2,0.0,0,2,0.0,0.0,0.0
GenCo131,2,0.0,0,2,0.0,0.0,0.0
GenCo132,2,0.0,0,2,0.0,133.25579987502027,0.0
GenCo133,2,0.0,0,2,0.0,135.47914361673242,0.0
GenCo134,2,0.0,0,2,0.0,131.66541408270328,0.0
GenCo135,2,0.0,0,2,0.0,131.96245329634112,0.0
GenCo136,2,0.0,0,2,0.0,141.71332732658087,0.0
GenCo137,2,0.0,0,2,0.0,142.6036488038264,0.0
GenCo138,2,0.0,0,2,0.0,133.0051630235692,0.0
GenCo139,2,0.0,0,2,0.0,125.33582440586606,0.0
GenCo140,2,0.0,0,2,0.0,132.82659323083078,0.0
GenCo141,2,0.0,0,2,0.0,127.64631951427468,0.0
GenCo142,2,0.0,0,2,0.0,132.64681477762176,0.0
GenCo143,2,0.0,0,2,0.0,132.95214714176984,0.0
GenCo144,2,0.0,0,2,0.0,137.8418396731593,0.0
GenCo145,2,0.0,0,2,0.0,131.15698146909537,0.0
GenCo146,2,0.0,0,2,0.0,133.72552120351293,0.0
GenCo147,2,0.0,0,2,0.0,141.81483759506102,0.0
GenCo148,2,0.0,0,2,0.0,123.75610155922188,0.0
GenCo149,2,0.0,0,2,0.0,129.7064943768722,0.0
GenCo150,2,0.0,0,2,0.0,132.79921236084468,0.0
GenCo151,2,0.0,0,2,0.0,135.7503394477635,0.0
GenCo152,2,0.0,0,2,0.0,137.62548185318886,0.0
GenCo153,2,0.0,0,2,0.0,140.78258766049845,0.0
GenCo154,2,0.0,0,2,0.0,171.0603917513751,0.0
GenCo155,2,0.0,0,2,0.0,161.1199571171561,0.0
GenCo156,2,0.0,0,2,0.0,159.70114763172708,0.0
GenCo157,2,0.0,0,2,0.0,163.57667515305695,0.0
GenCo158,2,0.0,0,2,0.0,157.95024933295178,0.0
GenCo159,2,0.0,0,2,0.0,164.94206164828114,0.0
GenCo160,2,0.0,0,2,0.0,157.87998814586618,0.0
GenCo161,2,0.0,0,2,0.0,139.89741374973116,0.0
GenCo162,2,0.0,0,2,0.0,144.8737631538888,0.0
GenCo163,2,0.0,0,2,0.0,136.85115073593676,0.0
GenCo164,2,0.0,0,2,0.0,139.7722853742369,0.0
GenCo165,2,0.0,0,2,0.0,135.48342799212838,0.0
GenCo166,2,0.0,0,2,0.0,134.31336842042396,0.0
GenCo167,2,0.0,0,2,0.0,145.4527510842285,0.0
GenCo168,2,0.0,0,2,0.0,135.62414815079364,0.0
GenCo169,2,0.0,0,2,0.0,120.90915284860026,0.0
GenCo170,2,0.0,0,2,0.0,120.83134770979086,0.0
GenCo171,2,0.0,0,2,0.0,129.41937914568064,0.0
GenCo172,2,0.0,0,2,0.0,120.92607639101543,0.0
GenCo173,2,0.0,0,2,0.0,122.39283784938287,0.0
GenCo174,2,0.0,0,2,0.0,133.77833619410717,0.0
GenCo175,2,0.0,0,2,0.0,133.49800397509676,0.0
GenCo176,2,0.0,0,2,0.0,138.0017712954351,0.0
GenCo177,2,0.0,0,2,0.0,131.67984531461974,0.0
GenCo178,2,0.0,0,2,0.0,130.8807336033957,0.0
GenCo179,2,0.0,0,2,0.0,0.0,0.0
GenCo180,2,0.0,0,2,0.0,0.0,0.0
GenCo181,2,0.0,0,2,0.0,0.0,0.0
GenCo182,2,0.0,0,2,0.0,0.0,0.0
GenCo183,2,0.0,0,2,0.0,0.0,0.0
GenCo184,2,0.0,0,2,0.0,0.0,0.0
GenCo185,2,0.0,0,2,0.0,0.0,0.0
GenCo186,2,0.0,0,2,0.0,0.0,0.0
GenCo187,2,0.0,0,2,0.0,0.0,0.0
GenCo188,2,0.0,0,2,0.0,0.0,0.0
GenCo189,2,0.0,0,2,0.0,0.0,0.0
GenCo190,2,0.0,0,2,0.0,0.0,0.0
GenCo191,2,0.0,0,2,0.0,0.0,0.0
GenCo192,2,0.0,0,2,0.0,112.16362781089762,0.0
GenCo193,2,0.0,0,2,0.0,0.0,0.0
GenCo194,2,0.0,0,2,0.0,0.0,0.0
GenCo195,2,0.0,0,2,0.0,0.0,0.0
GenCo196,2,0.0,0,2,0.0,0.0,0.0
GenCo197,2,0.0,0,2,0.0,0.0,0.0
GenCo198,2,0.0,0,2,0.0,0.0,0.0
GenCo199,2,0.0,0,2,0.0,0.0,0.0
GenCo200,2,0.0,0,2,0.0,0.0,0.0
GenCo201,2,0.0,0,2,0.0,0.0,0.0
GenCo202,2,0.0,0,2,0.0,0.0,0.0
GenCo203,2,0.0,0,2,0.0,0.0,0.0
GenCo204,2,0.0,0,2,0.0,0.0,0.0
GenCo205,2,0.0,0,2,0.0,0.0,0.0
GenCo206,2,0.0,0,2,0.0,0.0,0.0
GenCo207,2,0.0,0,2,0.0,0.0,0.0
GenCo208,2,0.0,0,2,0.0,0.0,0.0
GenCo209,2,0.0,0,2,0.0,0.0,0.0
GenCo210,2,0.0,0,2,0.0,0.0,0.0
GenCo211,2,0.0,0,2,0.0,0.0,0.0
GenCo212,2,0.0,0,2,0.0,0.0,0.0
GenCo213,2,0.0,0,2,0.0,0.0,0.0
GenCo214,2,0.0,0,2,0.0,0.0,0.0
GenCo215,2,0.0,0,2,0.0,0.0,0.0
GenCo216,2,0.0,0,2,0.0,0.0,0.0
GenCo217,2,0.0,0,2,0.0,153.17983502247614,0.0
GenCo218,2,0.0,0,2,0.0,163.69138302624683,0.0
GenCo219,2,0.0,0,2,0.0,153.22070716785362,0.0
GenCo220,2,0.0,0,2,0.0,0.0,0.0
GenCo221,2,0.0,0,2,0.0,0.0,0.0
GenCo222,2,0.0,0,2,0.0,0.0,0.0
GenCo223,2,0.0,0,2,0.0,0.0,0.0
GenCo224,2,0.0,0,2,0.0,0.0,0.0
GenCo225,2,0.0,0,2,0.0,0.0,0.0
GenCo226,2,0.0,0,2,0.0,0.0,0.0
GenCo227,2,0.0,0,2,0.0,0.0,0.0
GenCo228,2,0.0,0,2,0.0,0.0,0.0
GenCo229,2,0.0,0,2,0.0,0.0,0.0
GenCo230,2,0.0,0,2,0.0,0.0,0.0
GenCo231,2,0.0,0,2,0.0,0.0,0.0
GenCo232,2,0.0,0,2,0.0,0.0,0.0
GenCo233,2,0.0,0,2,0.0,0.0,0.0
GenCo234,2,0.0,0,2,0.0,0.0,0.0
GenCo235,2,0.0,0,2,0.0,0.0,0.0
GenCo236,2,0.0,0,2,0.0,0.0,0.0
GenCo237,2,0.0,0,2,0.0,0.0,0.0
