,MODEL,STARTUP,SHUTDOWN,NCOST,COST_2,COST_1,COST_0
GenCo0,2,0.0,0,2,0.0,1.9458533442192416,0.0
GenCo1,2,0.0,0,2,0.0,1.9005111689582526,0.0
GenCo2,2,0.0,0,2,0.0,2.0903318790647396,0.0
GenCo3,2,0.0,0,2,0.0,0.9594851908489409,0.0
GenCo4,2,0.0,0,2,0.0,1.9653751429723945,0.0
GenCo5,2,0.0,0,2,0.0,1.967064284786478,0.0
GenCo6,2,0.0,0,2,0.0,1.9939186327285134,0.0
GenCo7,2,0.0,0,2,0.0,2.043917401808259,0.0
GenCo8,2,0.0,0,2,0.0,1.9536823185335337,0.0
GenCo9,2,0.0,0,2,0.0,1.9162375994906773,0.0
GenCo10,2,0.0,0,2,0.0,0.9635561824540714,0.0
GenCo11,2,0.0,0,2,0.0,1.9018367618595449,0.0
GenCo12,2,0.0,0,2,0.0,2.046235556568799,0.0
GenCo13,2,0.0,0,2,0.0,1.0404503837245695,0.0
GenCo14,2,0.0,0,2,0.0,1.0292860480747523,0.0
GenCo15,2,0.0,0,2,0.0,2.044762912546129,0.0
GenCo16,2,0.0,0,2,0.0,1.9059545518642336,0.0
GenCo17,2,0.0,0,2,0.0,1.0244089321317063,0.0
GenCo18,2,0.0,0,2,0.0,2.041509354845205,0.0
GenCo19,2,0.0,0,2,0.0,2.0132659971075895,0.0
GenCo20,2,0.0,0,2,0.0,2.0444371253170437,0.0
GenCo21,2,0.0,0,2,0.0,2.0842487240856897,0.0
GenCo22,2,0.0,0,2,0.0,1.9786234036016506,0.0
GenCo23,2,0.0,0,2,0.0,2.004781557656703,0.0
GenCo24,2,0.0,0,2,0.0,0.9822665257265547,0.0
GenCo25,2,0.0,0,2,0.0,0.9506539163003987,0.0
GenCo26,2,0.0,0,2,0.0,2.0596809665249105,0.0
GenCo27,2,0.0,0,2,0.0,1.015543131816644,0.0
GenCo28,2,0.0,0,2,0.0,1.014415490644808,0.0
GenCo29,2,0.0,0,2,0.0,0.9706790229675786,0.0
GenCo30,2,0.0,0,2,0.0,1.9749152802251515,0.0
GenCo31,2,0.0,0,2,0.0,2.0357008943351205,0.0
GenCo32,2,0.0,0,2,0.0,2.0580399602149475,0.0
GenCo33,2,0.0,0,2,0.0,1.9962466478977763,0.0
GenCo34,2,0.0,0,2,0.0,0.9945583512250059,0.0
GenCo35,2,0.0,0,2,0.0,1.9465190054014152,0.0
GenCo36,2,0.0,0,2,0.0,1.0027569597994592,0.0
GenCo37,2,0.0,0,2,0.0,1.0073213788604523,0.0
GenCo38,2,0.0,0,2,0.0,2.0262132064935323,0.0
GenCo39,2,0.0,0,2,0.0,1.9356021752028416,0.0
GenCo40,2,0.0,0,2,0.0,2.0447758295450607,0.0
GenCo41,2,0.0,0,2,0.0,2.093621335675375,0.0
GenCo42,2,0.0,0,2,0.0,1.0328808901880178,0.0
GenCo43,2,0.0,0,2,0.0,1.0133303096288206,0.0
GenCo44,2,0.0,0,2,0.0,1.0394480885490005,0.0
GenCo45,2,0.0,0,2,0.0,1.9839500000845407,0.0
GenCo46,2,0.0,0,2,0.0,2.047615870267699,0.0
GenCo47,2,0.0,0,2,0.0,1.9304202059193694,0.0
GenCo48,2,0.0,0,2,0.0,2.076869903228725,0.0
GenCo49,2,0.0,0,2,0.0,2.0561674575740816,0.0
GenCo50,2,0.0,0,2,0.0,1.9653089949526257,0.0
GenCo51,2,0.0,0,2,0.0,0.9751002665479181,0.0
GenCo52,2,0.0,0,2,0.0,1.964994679849746,0.0
GenCo53,2,0.0,0,2,0.0,1.9605783685736813,0.0
GenCo54,2,0.0,0,2,0.0,1.9702128894288151,0.0
GenCo55,2,0.0,0,2,0.0,1.9565907708660601,0.0
GenCo56,2,0.0,0,2,0.0,0.9878907559811235,0.0
GenCo57,2,0.0,0,2,0.0,0.9610201582651631,0.0
GenCo58,2,0.0,0,2,0.0,1.0169706772590013,0.0
GenCo59,2,0.0,0,2,0.0,2.0068722949168833,0.0
GenCo60,2,0.0,0,2,0.0,2.042120360581295,0.0
GenCo61,2,0.0,0,2,0.0,1.9165352675527765,0.0
GenCo62,2,0.0,0,2,0.0,2.006323098831066,0.0
GenCo63,2,0.0,0,2,0.0,1.0269592523577322,0.0
GenCo64,2,0.0,0,2,0.0,2.0279967116616415,0.0
GenCo65,2,0.0,0,2,0.0,1.0150700356500841,0.0
GenCo66,2,0.0,0,2,0.0,1.0326018827794772,0.0
GenCo67,2,0.0,0,2,0.0,2.089822743934827,0.0
GenCo68,2,0.0,0,2,0.0,2.0712012041738377,0.0
GenCo69,2,0.0,0,2,0.0,2.088195171014731,0.0
GenCo70,2,0.0,0,2,0.0,1.993375139127634,0.0
GenCo71,2,0.0,0,2,0.0,2.0877840681349196,0.0
GenCo72,2,0.0,0,2,0.0,1.9170592748403177,0.0
GenCo73,2,0.0,0,2,0.0,1.0348936743576913,0.0
GenCo74,2,0.0,0,2,0.0,1.9693420273632047,0.0
GenCo75,2,0.0,0,2,0.0,2.0356872500343415,0.0
GenCo76,2,0.0,0,2,0.0,1.9452990955051495,0.0
GenCo77,2,0.0,0,2,0.0,2.0751718451898813,0.0
GenCo78,2,0.0,0,2,0.0,1.9398233812379362,0.0
GenCo79,2,0.0,0,2,0.0,1.9392932126902058,0.0
GenCo80,2,0.0,0,2,0.0,2.0998025562223477,0.0
GenCo81,2,0.0,0,2,0.0,0.9700327819549319,0.0
GenCo82,2,0.0,0,2,0.0,1.9314340534736183,0.0
GenCo83,2,0.0,0,2,0.0,1.9084330879701688,0.0
GenCo84,2,0.0,0,2,0.0,2.009598186219016,0.0
GenCo85,2,0.0,0,2,0.0,1.937223639155362,0.0
GenCo86,2,0.0,0,2,0.0,1.9136544268239994,0.0
GenCo87,2,0.0,0,2,0.0,2.04234434870639,0.0
GenCo88,2,0.0,0,2,0.0,0.9640125934533569,0.0
GenCo89,2,0.0,0,2,0.0,1.9153829099071933,0.0
GenCo90,2,0.0,0,2,0.0,2.0547520028463246,0.0
GenCo91,2,0.0,0,2,0.0,1.0246230919804336,0.0
GenCo92,2,0.0,0,2,0.0,1.017801143169255,0.0
GenCo93,2,0.0,0,2,0.0,1.9785580154670612,0.0
GenCo94,2,0.0,0,2,0.0,2.061037853831279,0.0
GenCo95,2,0.0,0,2,0.0,1.9405349703897579,0.0
GenCo96,2,0.0,0,2,0.0,2.005730057370306,0.0
GenCo97,2,0.0,0,2,0.0,2.084304775181956,0.0
GenCo98,2,0.0,0,2,0.0,2.0528778057562174,0.0
GenCo99,2,0.0,0,2,0.0,2.0761660211801716,0.0
GenCo100,2,0.0,0,2,0.0,2.016384541827631,0.0
GenCo101,2,0.0,0,2,0.0,1.9107834489525661,0.0
GenCo102,2,0.0,0,2,0.0,1.983839539433053,0.0
GenCo103,2,0.0,0,2,0.0,1.005607978190622,0.0
GenCo104,2,0.0,0,2,0.0,0.9537902891982523,0.0
GenCo105,2,0.0,0,2,0.0,1.0056049880409819,0.0
GenCo106,2,0.0,0,2,0.0,1.9018739675519756,0.0
GenCo107,2,0.0,0,2,0.0,0.9952176233537539,0.0
GenCo108,2,0.0,0,2,0.0,2.079511497585381,0.0
GenCo109,2,0.0,0,2,0.0,2.005929090535003,0.0
GenCo110,2,0.0,0,2,0.0,1.9231145407839496,0.0
GenCo111,2,0.0,0,2,0.0,1.976756637446642,0.0
GenCo112,2,0.0,0,2,0.0,2.0394804710383916,0.0
GenCo113,2,0.0,0,2,0.0,1.0187823454368676,0.0
GenCo114,2,0.0,0,2,0.0,2.0797279176159282,0.0
GenCo115,2,0.0,0,2,0.0,1.9379793296681638,0.0
GenCo116,2,0.0,0,2,0.0,1.981862725294146,0.0
GenCo117,2,0.0,0,2,0.0,1.979990318657479,0.0
GenCo118,2,0.0,0,2,0.0,1.9570693940294883,0.0
GenCo119,2,0.0,0,2,0.0,1.0030458616323707,0.0
GenCo120,2,0.0,0,2,0.0,1.999600737241308,0.0
GenCo121,2,0.0,0,2,0.0,1.972443994654876,0.0
GenCo122,2,0.0,0,2,0.0,2.0961110210494547,0.0
GenCo123,2,0.0,0,2,0.0,2.065925786362422,0.0
GenCo124,2,0.0,0,2,0.0,2.031653737909892,0.0
